ID,o2sn,emsn1,emsn2,emsn3,emsn4,emsn5,emsn6,emsn7,emsn8,emsn9,emsn10,z,EMLINE_data0,HIT_PAR2_data0,HIT_PAR3_data0,HIT_PAR4_data0,HIT_CHI2_data0,HIT_FWHM_data0,G_FAIL_data0,EMLINE_data1,HIT_PAR2_data1,HIT_PAR3_data1,HIT_PAR4_data1,HIT_CHI2_data1,HIT_FWHM_data1,G_FAIL_data1,EMLINE_data2,HIT_PAR2_data2,HIT_PAR3_data2,HIT_PAR4_data2,HIT_CHI2_data2,HIT_FWHM_data2,G_FAIL_data2,EMLINE_data3,HIT_PAR2_data3,HIT_PAR3_data3,HIT_PAR4_data3,HIT_CHI2_data3,HIT_FWHM_data3,G_FAIL_data3,EMLINE_data4,HIT_PAR2_data4,HIT_PAR3_data4,HIT_PAR4_data4,HIT_CHI2_data4,HIT_FWHM_data4,G_FAIL_data4,EMLINE_data5,HIT_PAR2_data5,HIT_PAR3_data5,HIT_PAR4_data5,HIT_CHI2_data5,HIT_FWHM_data5,G_FAIL_data5,EMLINE_data6,HIT_PAR2_data6,HIT_PAR3_data6,HIT_PAR4_data6,HIT_CHI2_data6,HIT_FWHM_data6,G_FAIL_data6,EMLINE_data7,HIT_PAR2_data7,HIT_PAR3_data7,HIT_PAR4_data7,HIT_CHI2_data7,HIT_FWHM_data7,G_FAIL_data7,EMLINE_data8,HIT_PAR2_data8,HIT_PAR3_data8,HIT_PAR4_data8,HIT_CHI2_data8,HIT_FWHM_data8,G_FAIL_data8,EMLINE_data9,HIT_PAR2_data9,HIT_PAR3_data9,HIT_PAR4_data9,HIT_CHI2_data9,HIT_FWHM_data9,G_FAIL_data9,EMLINE_data10,HIT_PAR2_data10,HIT_PAR3_data10,HIT_PAR4_data10,HIT_CHI2_data10,HIT_FWHM_data10,G_FAIL_data10,EMLINE_data11,HIT_PAR2_data11,HIT_PAR3_data11,HIT_PAR4_data11,HIT_CHI2_data11,HIT_FWHM_data11,G_FAIL_data11,Hits
393_51794_456_oneline,23.4141,1.5385,4.59186,12.3166,0.815926,9.55183,7.05225,30.2519,15.3427,12.0954,7.45284,0.196652,0,-2.080554578,25.66570141,25.66570141,4.189050178,6.252275116,0,1,-0.029873659,4.762327214,0.489229351,0.010033368,1.944740273,0,2,-1.013697779,8.528744012,1.034174698,0.644004852,2.486426257,0,3,-2.070916985,19.47461034,1.81378161,0.533458963,4.282959743,0,4,-1.687809036,3.727037613,4.438111272,0.367087081,8.933932247,0,5,0.178284048,9.816506653,1.357581227,0.071311595,3.308606596,0,6,0.396424581,5.585757186,1.973038962,0.34504584,4.742293348,0,7,-0.13550209,52.19632317,2.39463741,0.05207986,5.804515724,0,8,1.182508473,14.42616055,1.972902802,0.090066287,4.70081949,0,9,-1.585005108,11.59597621,2.8698998,0.072499549,6.590327269,0,10,-0.853926111,8.730051936,2.64094537,0.135479757,6.202326888,0,11,-0.248133139,19.57963856,2.423775488,3.093788684,5.665019945,0,good
3932_55337_331_oneline,10.2615,1.12304,0.243149,1.4018,2.60251,2.65469,0,0,0,0,0,1.02333,0,-0.289535272,1.314975424,1.314975424,0.197702516,10.14497412,0,1,-0.100803772,0.542661084,3.117250827,0.0216754,7.060402177,0,2,-0.03115161,0.627238493,0.59386574,7.40E-09,2.413593594,0,3,0.081938079,0.68641439,1.09080356,0.009258472,4.207665295,0,4,-0.060923234,1.604373167,1.837113946,0.055181801,4.540659679,0,5,-10.22335713,11.68879303,26.79732677,3.39945774,,0,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.043386873,1.318631176,3.891205924,0.29087502,7.907117302,0,good
3935_55326_93_oneline,9.83822,0.65937,0,0,0,0,0,0,0,0,0,1.44606,0,-0.301129875,0.685957552,0.685957552,0.442361207,10.48234142,0,1,0.047753919,3549.48229,-0.198023082,0.211762264,2.685136379,0,2, , , , , ,1,3, , , , , ,1,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.411755707,0.685957552,1.913121598,0.082652796,4.718372035,0,good
3937_55352_361_oneline,9.94184,0,1.33369,0,0,0,0,0,0,0,0,1.11333,0,-0.755873396,1.01587243,1.01587243,0.3966844,9.969450593,0,1,-0.061654473,0.479280575,-0.032059709,0.285794829,,0,2,-0.097313489,0.479750904,1.871694277,0.123753303,4.496413502,0,3,-2.186255636,3.517672923,2,0,5.452776444,0,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.090554942,1.01387521,3.899674984,0.320277577,8.0704264,0,good
3952_55330_927_oneline,9.03974,0.391801,0.0575252,0,0,0,0,0,0,0,0,1.28859,0,0.009833227,0.737791577,0.744832053,0.156369905,10.70733356,0,1,-0.168911084,1.558684782,0.618319116,0.083306014,4.083966297,0,2,-0.180765773,2.095151256,2.179719542,1.34E-09,5.157269279,0,3, , , , , ,1,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.18935176,0.744832053,4.462459275,0.249469032,8.431496513,0,good
3965_55302_586_oneline,12.332,0,0,0,0,0,0,0,0,0,0,1.28438,0,-0.432820804,1.912639643,1.912639643,0.894627421,10.87165676,0,1,-1.821264798,2.336814456,2,0,4.778571979,0,2,-0.952256468,5.665291234,1.993243974,0,4.911719954,0,3, , , , , ,1,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,-0.361108352,2.05391009,4.641217325,1.052377735,9.086730307,0,good
3986_55329_713_oneline,10.1194,0.141515,0,0,0,0,0,0,0,0,0,1.18207,0,-0.02178276,1.313326074,1.313326074,0.134263787,10.87723334,0,1,-0.367209655,1.403189918,0.514424802,4.68E-10,2.491564053,0,2,-0.023125056,3349.316903,0.118145684,0.000572004,2.619663894,0,3, , , , , ,1,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,-0.026947886,1.313326074,4.575813803,0.842858606,9.455122677,0,good
4004_55321_121_oneline,18.6841,2.6958,0,0,0,0,0,0,0,0,0,1.3959,0,0.417378205,1.79481804,1.792369347,0.101560365,11.7604163,0,1,-0.02542623,0.938775901,1.801716812,0.044366787,4.99334317,0,2, , , , , ,1,3, , , , , ,1,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.201308731,1.837947974,7.019357952,1.37887315,10.840292,0,good
404_51877_530_oneline,7.73231,0,1.66022,3.44853,0,0,0,0,0,0,0,0.874856,0,-0.283005591,2.485494246,2.485494246,0.162864648,10.04492473,0,1,-0.1331864,1.844146897,-0.22658762,0.000941756,2.049862158,0,2,-0.019634706,2.660905601,0.647934501,0.000412807,2.24685929,0,3,-0.825403269,3.540424777,4.34469099,0.371254362,8.09945376,0,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.103117538,2.485494246,3.859282827,0.212089419,8.359225349,0,good
4064_55366_790_multiline,21.8414,1.5677,4.08385,3.96132,0,0,0,0,0,0,0,1.08626,0,0.162001031,2.879128389,3.453716411,0.457553512,10.24582015,0,1,-0.245457989,0.961818588,1.579858365,0.049697838,3.730324391,0,2,-0.111852289,1.43837433,1.492606333,0.219314324,3.930309719,0,3,0.191344688,3.504921391,1.954867112,0.021480034,4.753226927,0,4,-13.83051695,15.29598082,17.57362545,0.047635746,,0,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.120925344,3.453716411,4.299910137,2.023959503,8.348181164,0,good
4064_55366_790_oneline,21.8414,1.5677,4.08385,3.96132,0,0,0,0,0,0,0,1.08626,0,0.162001031,2.879128389,3.453716411,0.457553512,10.24582015,0,1,-0.245457989,0.961818588,1.579858365,0.049697838,3.730324391,0,2,-0.111852289,1.43837433,1.492606333,0.219314324,3.930309719,0,3,0.191344688,3.504921391,1.954867112,0.021480034,4.753226927,0,4,-13.83051695,15.29598082,17.57362545,0.047635746,,0,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.120925344,3.453716411,4.299910137,2.023959503,8.348181164,0,good
4065_55368_515_multiline,9.0545,0.416765,1.10361,0,3.73885,6.03454,0,0,0,0,0,0.874424,1,-0.002924699,0.937643228,0.264334942,1.66E-11,1.523275807,0,2,0.167738311,1.098821154,-0.689037511,0,,0,3,-0.128356627,0.475927786,-0.130196813,0.015669439,1.799706879,0,4,0.21581411,0.880083849,2.000695503,0,4.801306528,0,5,0.658052621,1.038006978,0.902881152,0,2.236129582,0,6,-0.590614602,0.780857414,2,0,4.72978905,0,7,-0.479568316,0.514979186,2,0,4.870870207,0,8,-0.080861808,0.327766949,0.267440604,0,2.781181017,0,9,-0.271978316,2.677946501,2,0,4.955283577,0,10,-0.051536457,8.084837327,2.218557054,8.91E-09,5.655966334,0,11,-0.153902318,0.743100083,0.495630087,0.069078563,2.024442012,0,0,-0.02839358,0.866684173,1.217410528,0.085423958,8.873976942,0,good
4065_55368_515_oneline,9.0545,0.416765,1.10361,0,3.73885,6.03454,0,0,0,0,0,0.874424,0,-0.02839358,0.866684173,1.217410528,0.085423958,8.873976942,0,1,-0.057659272,0.492612476,0.233588517,0.000898133,2.041788339,0,2,-0.138324517,0.290881264,4.813705609,0.037442339,9.277308369,0,3,-0.21086733,0.858001262,2,0,5.123778172,0,4,-0.148860276,1.04849655,2.747347884,0.242015826,6.356750009,0,5,-0.046850515,8.084837327,2.195869458,6.49E-05,5.590842874,0,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,-0.278505198,1.217410528,4.577449016,1.128442177,8.992304978,0,good
4072_55362_847_oneline,18.0489,0.627357,3.1946,0,0,0,0,0,0,0,0,1.21089,0,-0.448193666,2.44772301,2.518866901,1.46290041,11.32177886,0,1,0.010106215,0.313167483,1.439251999,0.351143469,3.809970624,0,2,-0.221566172,1.074155083,4.033990368,0.155326532,8.231599146,0,3, , , , , ,1,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.132054534,1.995510114,4.173400373,2.179983985,8.203896021,0,good
4080_55471_621_oneline,7.80593,0,0.696047,4.10202,1.23156,1.38159,0,0,0,0,0,0.977734,0,-0.60160568,1.83860045,1.980080167,1.510869419,9.950922865,0,1,-0.345929024,0.464659766,7.791018825,0.129189895,,0,2,-0.115649289,0.541724702,0.9734515,0.030906186,3.57412635,0,3,0.083092651,2.047396449,1.24465617,0.17066843,4.120188849,0,4,-0.484248409,0.9422875,4.761186731,0.172366727,9.338865724,0,5,0.395734471,0.354975194,1.370756266,2.470792907,3.975383409,0,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,-0.683183273,1.980080167,5.197429797,0.587160991,9.521175299,0,good
4081_55365_241_oneline,10.2134,0.109675,0,0,0,0,0,0,0,0,0,1.4517,0,0.354079318,0.550712953,0.520269744,0.619147,10.48912355,0,1,-0.18292259,1.734450817,0.633082656,2.21E-07,2.726534383,0,2, , , , , ,1,3, , , , , ,1,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.447088411,0.520269744,5.106941804,0.69261071,8.242865291,0,good
412_52258_30_oneline,9.19815,0.528768,0,0,0,0,0,0,0,0,0,1.15015,0,-1.786800546,4.733235562,4.733235562,0.157454684,11.0378456,0,1,-0.222947586,0.444642372,1.573795886,0.203324266,4.417380845,0,2, , , , , ,1,3, , , , , ,1,4, , , , , ,1,5, , , , , ,1,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,-0.945534739,4.733235562,4.190313373,0.616864545,8.58928822,0,good
4207_55475_933_multiline,0,2.45212,3.78932,5.47309,0,15.0018,0,0,0,0,0,0.936278,0,-0.241646832,1.395615945,1.395615945,3.44E-09,9.941487327,0,1,-0.066289956,0.717043456,1.349084683,0.012214994,3.735884527,0,2,-2.67270019,3.399171919,6.725895375,0.819628197,9.415489173,0,3,-0.476621041,2.742050576,2.100352271,0.090371344,5.184036016,0,4,-0.233305098,4.056072072,2,0,4.948591257,0,5,-0.222063973,10.31711492,1.760975281,0.890257373,4.594292205,0,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,-0.244827031,1.395615945,2,0,4.779935586,0,good
422_51811_508_multiline,6.39939,0,2.34695,3.4625,3.26875,6.50829,0,0,0,0,0,0.524993,0,-0.305805231,3.782556725,3.782556725,0.518344985,,0,1,-0.078370917,0.190319502,-0.320194779,0.048722321,1.659409898,0,2,0.123703294,1.591085398,0.564952489,0.070163222,2.309150233,0,3,-0.111267526,1.711243718,1.569290316,0.219898477,3.847652616,0,4,0.180106363,1.612067673,0.853268013,0.33022117,3.294960298,0,5,0.09899995,3.861131571,1.732329536,0.197024557,4.11864872,0,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,-1.241514967,3.782556725,3.966768822,0.847759066,8.17985084,0,good
